run_id,timestamp,config_seed,config_model_type,config_semantic_mode,config_total_tasks,metric_success_rate,metric_avg_reward,metric_p95_latency,metric_avg_energy,metric_qoe,metric_unique_actions,metric_action_0_rate,metric_action_1_rate,metric_action_2_rate,metric_action_3_rate,metric_action_4_rate,metric_action_5_rate,metric_dominant_action,config_batch_id,config_eval_group,metric_action_local_rate,metric_action_edge_25_rate,metric_action_edge_50_rate,metric_action_edge_75_rate,metric_action_edge_full_rate,metric_action_cloud_rate
3207bb80,2026-04-08T23:35:57.787237,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_233236,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
db5f02b4,2026-04-08T23:37:06.305460,43,PPO_pretrained_finetuned,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_233236,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
9b2be74c,2026-04-08T23:38:01.931412,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_233236,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
6565075a,2026-04-08T23:39:00.960963,44,PPO_pretrained_finetuned,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_233236,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
da5672c9,2026-04-08T23:56:44.343469,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_235540,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
544ba57d,2026-04-08T23:57:48.148327,42,PPO_pretrained_finetuned,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_235540,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
af6b8500,2026-04-08T23:58:54.354915,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_235540,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
686a469b,2026-04-09T00:00:01.355649,43,PPO_pretrained_finetuned,action_prior,500,0.716,781.62,3.1991,0.0958,55.6,2,0.0,0.0,0.0,0.814,0.0,0.186,3,synthetic_staged_training_20260408_235540,synthetic_staged_training,0.0,0.0,0.0,0.814,0.0,0.186
b4fb52ee,2026-04-09T00:01:04.392158,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260408_235540,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
9dbad2f1,2026-04-09T00:02:06.488638,44,PPO_pretrained_finetuned,action_prior,500,0.828,957.61,1.9806,0.025,72.9,2,0.0,0.0,0.0,0.206,0.0,0.794,5,synthetic_staged_training_20260408_235540,synthetic_staged_training,0.0,0.0,0.0,0.206,0.0,0.794
ac7c8654,2026-04-09T00:04:17.204314,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_000314,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
288361e7,2026-04-09T00:05:19.733507,42,PPO_pretrained_finetuned,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_000314,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
6759dbe8,2026-04-09T00:06:26.805530,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_000314,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
fb5af625,2026-04-09T00:07:33.263033,43,PPO_pretrained_finetuned,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_000314,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
8f3086d7,2026-04-09T00:08:35.560823,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_000314,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
9e9a0e58,2026-04-09T00:09:37.274062,44,PPO_pretrained_finetuned,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_000314,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
468baa63,2026-04-09T14:16:11.942729,42,PPO_from_scratch,action_prior,500,0.828,745.51,2.0369,0.0137,72.62,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_141444,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
e0035347,2026-04-09T14:19:21.152248,42,PPO_pretrained_finetuned,action_prior,500,0.854,957.41,1.9896,0.0126,75.45,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_141444,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
b502d6eb,2026-04-09T14:20:32.607928,43,PPO_from_scratch,action_prior,500,0.84,977.45,2.002,0.0126,73.99,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_141444,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
8cd55fe4,2026-04-09T14:23:57.683235,43,PPO_pretrained_finetuned,action_prior,500,0.846,884.13,2.0245,0.017,74.48,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_141444,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
7fb303c6,2026-04-09T14:27:10.789532,44,PPO_from_scratch,action_prior,500,0.842,816.52,1.9783,0.0158,74.31,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_141444,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
32d7cf08,2026-04-09T14:28:47.267861,44,PPO_pretrained_finetuned,action_prior,500,0.838,892.63,2.0166,0.0142,73.72,1,0.0,0.0,0.0,0.0,0.0,1.0,5,synthetic_staged_training_20260409_141444,synthetic_staged_training,0.0,0.0,0.0,0.0,0.0,1.0
