teacher_policy,split,episode_id,step_id,selected_action_id,selected_action_name,teacher_score,teacher_margin,predicted_delay,predicted_energy,predicted_reward,deadline_met,semantic_target,semantic_match,priority_score,semantic_confidence,state_snr_norm,state_task_size_norm,state_cpu_cycles_norm,state_battery_norm,state_edge_load_norm,state_edge_energy_norm,prior_local,prior_edge_25,prior_edge_50,prior_edge_75,prior_edge_full,prior_cloud
teacher_latency_greedy,train,0,33,1,edge_25,0.829693,-0.393981,0.713349,0.07065,72.960243,1,local,0,0.414964,0.949959,1.0,0.259749,0.091087,0.998128,0.249154,0.99807,0.958299,0.00834,0.00834,0.00834,0.00834,0.00834
teacher_latency_greedy,train,24,16,4,edge_100,0.923652,-0.164017,0.90906,0.016768,70.202023,1,local,0,0.259579,0.886008,1.0,0.700531,0.172374,0.999146,0.035283,0.999082,0.905006,0.018999,0.018999,0.018999,0.018999,0.018999
teacher_latency_greedy,train,14,3,0,local,1.017294,-0.592897,0.867294,0.086729,90.821812,1,local,1,0.20933,0.733973,1.0,0.431445,0.086729,0.999842,0.1092,0.999957,0.77831,0.044338,0.044338,0.044338,0.044338,0.044338
teacher_latency_greedy,train,37,13,5,cloud,0.993472,2.808784,0.993142,0.000979,25.526152,1,local,0,0.8015,0.811463,1.0,0.029523,0.445592,0.99928,0.052798,0.998886,0.842886,0.031423,0.031423,0.031423,0.031423,0.031423
teacher_latency_greedy,train,26,48,3,edge_75,1.590527,0.0,1.55174,0.1046,78.026853,1,edge,1,0.147354,0.872614,1.0,0.143035,0.404517,0.997415,0.095428,0.998768,0.021231,0.152123,0.239385,0.283015,0.283015,0.021231
teacher_latency_greedy,train,16,19,3,edge_75,4.896057,0.0,2.427295,0.164356,-16.236667,0,edge,1,0.583246,0.529925,1.0,0.230745,0.641221,0.998999,0.093198,0.999437,0.078346,0.157835,0.210827,0.237323,0.237323,0.078346
teacher_latency_greedy,train,22,5,1,edge_25,0.859158,-0.434142,0.746434,0.072223,110.854266,1,edge,1,0.967053,0.704548,1.0,0.032054,0.096106,0.999743,0.0,1.0,0.049242,0.154924,0.225379,0.260606,0.260606,0.049242
teacher_latency_greedy,train,18,3,5,cloud,1.696027,1.33146,1.693093,0.015278,10.391662,1,cloud,1,0.580292,0.580516,1.0,0.538614,0.781269,0.999833,0.182344,0.999613,0.069914,0.069914,0.069914,0.069914,0.069914,0.65043
teacher_latency_greedy,train,34,33,3,edge_75,1.640649,0.0,1.598919,0.115078,82.677923,1,edge,1,0.528722,0.851804,1.0,0.72065,0.413646,0.998261,0.150069,0.999236,0.024699,0.15247,0.23765,0.280241,0.280241,0.024699
teacher_latency_greedy,train,39,18,5,cloud,1.277662,0.976681,1.275363,0.008874,-0.560926,1,edge,0,0.596124,0.940565,1.0,0.245362,0.578807,0.999038,0.129755,0.99963,0.009906,0.150991,0.245047,0.292075,0.292075,0.009906
teacher_latency_greedy,train,31,43,4,edge_100,0.873781,-0.155628,0.867314,0.007251,79.999536,1,local,0,0.310637,0.690753,1.0,0.447655,0.168186,0.997722,0.18122,0.998275,0.742294,0.051541,0.051541,0.051541,0.051541,0.051541
teacher_latency_greedy,train,1,45,1,edge_25,1.710361,-0.859714,1.597745,0.157342,75.549462,1,edge,1,0.563845,0.920017,1.0,0.046614,0.209575,0.997343,0.249573,0.995056,0.013331,0.151333,0.243335,0.289336,0.289336,0.013331
teacher_latency_greedy,train,0,25,3,edge_75,1.349821,0.0,1.304662,0.099057,61.314189,1,local,0,0.814362,0.730028,1.0,0.610595,0.329027,0.998602,0.164434,0.999129,0.775024,0.044995,0.044995,0.044995,0.044995,0.044995
teacher_latency_greedy,train,0,18,1,edge_25,2.690433,-1.347357,2.57773,0.255626,21.973608,1,edge,1,0.497652,0.572712,1.0,0.053646,0.340221,0.999021,0.094693,0.999437,0.071215,0.157121,0.214393,0.243028,0.243028,0.071215
teacher_latency_greedy,train,21,0,5,cloud,0.788524,0.501015,0.777342,0.023494,50.180391,1,cloud,1,0.998236,0.804681,1.0,0.894112,0.315177,1.0,0.0,1.0,0.032553,0.032553,0.032553,0.032553,0.032553,0.837234
teacher_latency_greedy,train,38,29,4,edge_100,0.776956,-0.139894,0.753611,0.021653,72.630952,1,local,0,0.201021,0.935253,1.0,0.846293,0.139126,0.998478,0.080416,0.999315,0.946044,0.010791,0.010791,0.010791,0.010791,0.010791
teacher_latency_greedy,train,21,29,5,cloud,4.671321,1.664673,2.059694,0.008285,-108.547981,0,edge,0,0.998776,0.914229,1.0,0.305726,0.971562,0.998441,0.080378,0.998801,0.014295,0.15143,0.242852,0.288564,0.288564,0.014295
teacher_latency_greedy,train,19,6,0,local,0.31293,-0.016454,0.16293,0.016293,130.923419,1,local,1,0.898721,0.858075,1.0,0.69891,0.016293,0.999678,0.062588,0.999828,0.881729,0.023654,0.023654,0.023654,0.023654,0.023654
teacher_latency_greedy,train,23,14,2,edge_50,0.62376,-0.138239,0.538105,0.057515,100.220115,1,edge,1,0.268694,0.520503,1.0,0.474847,0.100722,0.999263,0.075487,0.999746,0.079916,0.157992,0.210042,0.236067,0.236067,0.079916
teacher_latency_greedy,train,28,0,5,cloud,1.680231,6.676882,1.675648,0.023358,11.760285,1,cloud,1,0.644607,0.823925,1.0,0.901003,0.764466,1.0,0.0,1.0,0.029346,0.029346,0.029346,0.029346,0.029346,0.853271
teacher_latency_greedy,train,14,18,5,cloud,3.099577,1.264065,1.616057,0.017299,-22.702213,0,cloud,1,0.351067,0.629184,1.0,0.749934,0.740729,0.999039,0.030666,0.999279,0.061803,0.061803,0.061803,0.061803,0.061803,0.690987
teacher_latency_greedy,train,35,26,5,cloud,1.23838,0.951467,1.237534,0.003192,27.429296,1,local,0,0.418891,0.691244,1.0,0.077694,0.565575,0.998583,0.06966,0.99891,0.742703,0.051459,0.051459,0.051459,0.051459,0.051459
teacher_latency_greedy,train,40,38,4,edge_100,0.783168,-0.13927,0.782638,0.000545,93.344211,1,local,0,0.978753,0.542038,1.0,0.035498,0.15451,0.997989,0.040269,0.998365,0.618365,0.076327,0.076327,0.076327,0.076327,0.076327
teacher_latency_greedy,train,0,43,4,edge_100,1.255984,-0.251277,1.23786,0.028205,73.162172,1,edge,1,0.629673,0.633809,1.0,0.792833,0.23343,0.997569,0.194195,0.99738,0.061032,0.156103,0.219484,0.251175,0.251175,0.061032
teacher_latency_greedy,train,13,49,3,edge_75,2.942453,0.0,1.688514,0.123673,52.163573,0,edge,1,0.189711,0.706508,1.0,0.786924,0.430901,0.997366,0.106626,0.997815,0.048915,0.154892,0.225542,0.260868,0.260868,0.048915
teacher_latency_greedy,train,16,12,3,edge_75,0.322927,0.0,0.245244,0.026502,143.755499,1,edge,1,0.918701,0.864908,1.0,0.796113,0.051174,0.999366,0.06,0.999636,0.022515,0.152252,0.238742,0.281988,0.281988,0.022515
teacher_latency_greedy,train,35,48,1,edge_25,0.406489,-0.159088,0.281128,0.027905,116.625773,1,edge,1,0.974565,0.538759,1.0,0.285252,0.03339,0.997422,0.046345,0.998521,0.076874,0.157687,0.211563,0.238501,0.238501,0.076874
teacher_latency_greedy,train,17,24,4,edge_100,0.573338,-0.077125,0.557598,0.011083,87.306282,1,local,0,0.286379,0.633103,1.0,0.546547,0.105621,0.998714,0.14553,0.998723,0.694252,0.06115,0.06115,0.06115,0.06115,0.06115
teacher_latency_greedy,train,17,23,4,edge_100,0.870477,-0.151314,0.859038,0.012517,82.54066,1,local,0,0.903865,0.822291,1.0,0.647463,0.164144,0.998765,0.055524,0.998855,0.851909,0.029618,0.029618,0.029618,0.029618,0.029618
teacher_latency_greedy,train,40,46,0,local,1.719009,-1.054597,1.569009,0.156901,68.184566,1,local,1,0.522943,0.717137,1.0,0.519171,0.156901,0.997565,0.14236,0.998125,0.764281,0.047144,0.047144,0.047144,0.047144,0.047144
teacher_latency_greedy,train,14,41,5,cloud,1.323923,0.925998,1.310249,0.050555,-20.176381,1,edge,0,0.350992,0.905207,1.0,0.979108,0.55457,0.997859,0.0,1.0,0.015799,0.15158,0.242101,0.287361,0.287361,0.015799
teacher_latency_greedy,train,30,28,4,edge_100,0.710635,-0.114415,0.699836,0.009631,79.828159,1,local,0,0.683203,0.869615,1.0,0.42391,0.133771,0.998479,0.147699,0.998536,0.891346,0.021731,0.021731,0.021731,0.021731,0.021731
teacher_latency_greedy,train,35,34,4,edge_100,0.976718,-0.174546,0.949558,0.031567,78.678142,1,local,0,0.471536,0.651566,1.0,0.852332,0.174342,0.998165,0.054584,0.998732,0.709639,0.058072,0.058072,0.058072,0.058072,0.058072
teacher_latency_greedy,train,9,49,3,edge_75,1.38834,0.0,1.343934,0.100778,92.111134,1,edge,1,0.791635,0.835345,1.0,0.550566,0.34042,0.997317,0.143172,0.998435,0.027442,0.152744,0.236279,0.278046,0.278046,0.027442
teacher_latency_greedy,train,37,3,4,edge_100,0.987433,-0.198156,0.967116,0.024505,75.707978,1,local,0,0.650441,0.613783,1.0,0.681433,0.180917,0.999822,0.100344,0.999455,0.678153,0.064369,0.064369,0.064369,0.064369,0.064369
teacher_latency_greedy,train,19,30,2,edge_50,2.023997,-0.506384,1.94763,0.195254,49.090462,1,edge,1,0.355284,0.618749,1.0,0.251942,0.383518,0.998374,0.092962,0.998681,0.063542,0.156354,0.218229,0.249167,0.249167,0.063542
teacher_latency_greedy,train,8,29,2,edge_50,0.266765,-0.086403,0.189313,0.016905,100.838466,1,cloud,0,0.180079,0.602918,1.0,0.030527,0.03274,0.998455,0.047417,0.999125,0.06618,0.06618,0.06618,0.06618,0.06618,0.669099
teacher_latency_greedy,train,23,23,2,edge_50,0.842263,-0.187665,0.758002,0.081225,89.50738,1,edge,1,0.281607,0.532981,1.0,0.501169,0.144596,0.998785,0.0,1.0,0.077836,0.157784,0.211082,0.237731,0.237731,0.077836
teacher_latency_greedy,train,30,21,1,edge_25,0.365556,-0.19626,0.251512,0.022849,117.830346,1,edge,1,0.893572,0.582719,1.0,0.055629,0.030053,0.998878,0.070885,0.999388,0.069547,0.156955,0.215227,0.244363,0.244363,0.069547
teacher_latency_greedy,train,41,26,4,edge_100,0.643626,-0.101178,0.629655,0.011108,91.362926,1,local,0,0.870575,0.637064,1.0,0.337608,0.119265,0.998599,0.019341,0.998745,0.697554,0.060489,0.060489,0.060489,0.060489,0.060489
teacher_latency_greedy,train,10,11,0,local,1.018094,-0.602289,0.868094,0.086809,82.306013,1,local,1,0.260146,0.698296,1.0,0.396941,0.086809,0.999422,0.010057,0.999922,0.74858,0.050284,0.050284,0.050284,0.050284,0.050284
teacher_latency_greedy,train,15,9,2,edge_50,0.696783,-0.170064,0.617156,0.06244,90.929012,1,cloud,0,0.789778,0.637423,1.0,0.20166,0.117625,0.999518,0.06744,0.99983,0.06043,0.06043,0.06043,0.06043,0.06043,0.697852
teacher_latency_greedy,train,40,46,0,local,1.719009,-1.054597,1.569009,0.156901,68.184566,1,local,1,0.522943,0.717137,1.0,0.519171,0.156901,0.997565,0.14236,0.998125,0.764281,0.047144,0.047144,0.047144,0.047144,0.047144
teacher_latency_greedy,train,3,43,3,edge_75,0.65474,0.0,0.615625,0.040741,91.591548,1,local,0,0.874603,0.880916,1.0,0.06896,0.156235,0.997693,0.108963,0.998175,0.900764,0.019847,0.019847,0.019847,0.019847,0.019847
teacher_latency_greedy,train,6,45,1,edge_25,1.02219,-0.511255,0.909007,0.088778,89.84649,1,edge,1,0.68049,0.647334,1.0,0.078912,0.117657,0.997616,0.069029,0.998644,0.058778,0.155878,0.220611,0.252978,0.252978,0.058778
teacher_latency_greedy,train,38,48,4,edge_100,0.967988,-0.176646,0.959047,0.011024,77.324869,1,local,0,0.30977,0.545903,1.0,0.50232,0.184947,0.997489,0.084874,0.998903,0.621586,0.075683,0.075683,0.075683,0.075683,0.075683
teacher_latency_greedy,train,7,9,0,local,1.160219,-0.730637,1.010219,0.101022,95.279537,1,local,1,0.674275,0.92772,1.0,0.033463,0.101022,0.999527,0.154568,0.999791,0.939767,0.012047,0.012047,0.012047,0.012047,0.012047
teacher_latency_greedy,train,10,45,3,edge_75,2.313459,0.0,2.274955,0.154066,59.928072,1,edge,1,0.992048,0.849132,1.0,0.309663,0.600194,0.997615,0.087712,0.998878,0.025145,0.152514,0.237428,0.279884,0.279884,0.025145
teacher_latency_greedy,train,4,16,5,cloud,0.767853,0.500805,0.760175,0.016073,43.800525,1,cloud,1,0.866092,0.632323,1.0,0.746768,0.314014,0.999155,0.068276,0.99953,0.061279,0.061279,0.061279,0.061279,0.061279,0.693603
teacher_latency_greedy,train,23,18,4,edge_100,0.971075,-0.185998,0.969439,0.002086,89.988653,1,edge,1,0.690481,0.594979,1.0,0.066588,0.19121,0.99904,0.116411,0.999382,0.067504,0.15675,0.216248,0.245997,0.245997,0.067504
teacher_latency_greedy,train,32,11,4,edge_100,1.007967,-0.184934,0.987054,0.025674,76.950213,1,local,0,0.956285,0.500382,1.0,0.886889,0.18415,0.999395,0.128936,0.999327,0.583651,0.08327,0.08327,0.08327,0.08327,0.08327
teacher_latency_greedy,train,5,27,2,edge_50,0.429069,-0.074927,0.339651,0.037917,99.348176,1,cloud,0,0.41256,0.514653,1.0,0.580899,0.063607,0.998585,0.113628,0.999278,0.080891,0.080891,0.080891,0.080891,0.080891,0.595544
teacher_latency_greedy,train,17,2,3,edge_75,4.737618,0.0,2.383845,0.161072,6.080523,0,edge,1,0.536228,0.9305,1.0,0.362607,0.624446,0.999898,0.0,1.0,0.011583,0.151158,0.244208,0.290733,0.290733,0.011583
teacher_latency_greedy,train,26,2,1,edge_25,0.313623,-0.15595,0.198899,0.017648,120.931663,1,edge,1,0.316632,0.865981,1.0,0.042109,0.023074,0.999897,0.0,1.0,0.022336,0.152234,0.238832,0.282131,0.282131,0.022336
teacher_latency_greedy,train,39,48,3,edge_75,3.615745,0.0,2.439683,0.166341,-42.433157,0,edge,1,0.929778,0.536729,1.0,0.227669,0.639215,0.997427,0.066263,0.998674,0.077212,0.157721,0.211394,0.238231,0.238231,0.077212
teacher_latency_greedy,train,2,11,0,local,0.635248,-0.383856,0.485248,0.048525,81.159319,1,edge,0,0.234047,0.7337,1.0,0.049852,0.048525,0.999375,0.097574,0.999124,0.044383,0.154438,0.227808,0.264493,0.264493,0.044383
teacher_latency_greedy,train,1,2,4,edge_100,2.474433,-0.555739,2.472436,0.006516,21.050287,1,cloud,0,0.939567,0.669745,1.0,0.452082,0.489498,0.999874,0.06,0.999795,0.055043,0.055043,0.055043,0.055043,0.055043,0.724787
teacher_latency_greedy,train,18,48,2,edge_50,1.519617,-0.364342,1.440673,0.147973,74.625736,1,edge,1,0.155264,0.708612,1.0,0.494024,0.281158,0.997383,0.027751,0.999548,0.048565,0.154856,0.225718,0.261148,0.261148,0.048565
teacher_latency_greedy,train,36,16,2,edge_50,0.743715,-0.169613,0.659803,0.069964,94.773796,1,edge,1,0.120239,0.677871,1.0,0.473282,0.125068,0.999149,0.0,1.0,0.053688,0.155369,0.223156,0.25705,0.25705,0.053688
teacher_latency_greedy,train,37,49,3,edge_75,1.490863,0.0,1.442898,0.115091,84.656076,1,edge,1,0.433768,0.775222,1.0,0.898994,0.359919,0.997296,0.131077,0.997072,0.037463,0.153746,0.231269,0.27003,0.27003,0.037463
teacher_latency_greedy,train,38,48,4,edge_100,0.967988,-0.176646,0.959047,0.011024,77.324869,1,local,0,0.30977,0.545903,1.0,0.50232,0.184947,0.997489,0.084874,0.998903,0.621586,0.075683,0.075683,0.075683,0.075683,0.075683
teacher_latency_greedy,train,38,5,4,edge_100,0.843061,-0.151243,0.836432,0.007174,78.646297,1,local,0,0.634909,0.74916,1.0,0.2443,0.162325,0.999745,0.0,1.0,0.790966,0.041807,0.041807,0.041807,0.041807,0.041807
teacher_latency_greedy,train,0,4,5,cloud,0.633264,0.406427,0.627581,0.009629,67.370636,1,cloud,1,0.908041,0.763064,1.0,0.272231,0.254161,0.999791,0.0,1.0,0.039489,0.039489,0.039489,0.039489,0.039489,0.802553
teacher_latency_greedy,train,30,14,5,cloud,5.197029,1.552645,1.939499,0.013897,-54.297894,0,local,0,0.462248,0.869909,1.0,0.624359,0.905852,0.99926,0.086989,0.999489,0.891591,0.021682,0.021682,0.021682,0.021682,0.021682
teacher_latency_greedy,train,1,8,1,edge_25,3.046597,-1.525566,2.933942,0.291065,-2.729191,1,cloud,0,0.98015,0.632854,1.0,0.115587,0.387551,0.999515,0.122786,0.998622,0.061191,0.061191,0.061191,0.061191,0.061191,0.694045
teacher_latency_greedy,train,35,19,3,edge_75,0.530809,-0.180182,0.134414,0.028456,100.570117,1,edge,1,0.238458,0.518691,1.0,0.875261,0.010768,0.998954,0.073561,0.999132,0.080218,0.158022,0.209891,0.235825,0.235825,0.080218
teacher_latency_greedy,train,9,30,2,edge_50,0.298691,0.02195,0.12252,0.020041,128.547331,1,edge,1,0.54461,0.756096,1.0,0.609967,0.017064,0.998355,0.052997,0.998933,0.040651,0.154065,0.229675,0.267479,0.267479,0.040651
teacher_latency_greedy,train,25,16,2,edge_50,0.471037,-0.097756,0.382448,0.040693,114.049266,1,edge,1,0.670863,0.544456,1.0,0.646814,0.068902,0.999142,0.099364,0.999594,0.075924,0.157592,0.212038,0.239261,0.239261,0.075924
teacher_latency_greedy,train,0,17,5,cloud,1.90169,7.501392,1.900132,0.00925,-6.608157,1,edge,0,0.289567,0.62679,1.0,0.271821,0.890816,0.999072,0.11548,0.999437,0.062202,0.15622,0.218899,0.250239,0.250239,0.062202
teacher_latency_greedy,train,40,39,0,local,1.50052,-0.878611,1.35052,0.135052,73.724607,1,local,1,0.129279,0.851793,1.0,0.933948,0.135052,0.997939,0.13302,0.998241,0.876494,0.024701,0.024701,0.024701,0.024701,0.024701
teacher_latency_greedy,train,26,19,5,cloud,0.919086,2.928651,0.910557,0.021804,18.299819,1,local,0,0.735766,0.88685,1.0,0.656176,0.383474,0.99897,0.121092,0.999599,0.905708,0.018858,0.018858,0.018858,0.018858,0.018858
teacher_latency_greedy,train,7,34,5,cloud,1.087897,0.776935,1.079355,0.026382,22.023307,1,local,0,0.960964,0.629768,1.0,0.892984,0.463295,0.998186,0.031761,0.999089,0.691473,0.061705,0.061705,0.061705,0.061705,0.061705
teacher_latency_greedy,train,40,1,5,cloud,1.258756,0.958624,1.2582,0.002139,22.069035,1,edge,0,0.493394,0.597808,1.0,0.124448,0.576961,0.99994,0.06,0.999778,0.067032,0.156703,0.216484,0.246374,0.246374,0.067032
teacher_latency_greedy,train,6,9,3,edge_75,1.037765,0.0,0.993896,0.073084,107.141497,1,edge,1,0.618416,0.808132,1.0,0.529005,0.249892,0.999524,0.058584,0.999664,0.031978,0.153198,0.234011,0.274418,0.274418,0.031978
teacher_latency_greedy,train,19,42,5,cloud,1.246509,4.00622,1.244821,0.006368,28.302438,1,cloud,1,0.703132,0.599179,1.0,0.223748,0.566043,0.997725,0.027619,0.99828,0.066804,0.066804,0.066804,0.066804,0.066804,0.665982
teacher_latency_greedy,train,2,18,5,cloud,1.223707,3.995936,1.217291,0.022914,14.73672,1,local,0,0.745622,0.685986,1.0,0.673136,0.535731,0.998988,0.142049,0.99839,0.738321,0.052336,0.052336,0.052336,0.052336,0.052336
teacher_latency_greedy,train,22,21,5,cloud,2.516094,0.758208,1.026138,0.012336,-25.510936,0,cloud,1,0.670461,0.579716,1.0,0.707118,0.450733,0.998908,0.055986,0.999682,0.070047,0.070047,0.070047,0.070047,0.070047,0.649764
teacher_latency_greedy,train,7,36,3,edge_75,2.605356,0.0,2.565484,0.177884,43.359456,1,edge,1,0.610526,0.706103,1.0,0.491287,0.669197,0.998082,0.021356,0.999089,0.048983,0.154898,0.225509,0.260814,0.260814,0.048983
teacher_latency_greedy,train,7,23,2,edge_50,1.9544,-0.497874,1.879025,0.186202,64.919284,1,edge,1,0.901072,0.777569,1.0,0.063487,0.370551,0.998779,0.04679,0.999372,0.037072,0.153707,0.231464,0.270342,0.270342,0.037072
teacher_latency_greedy,train,39,37,5,cloud,1.172735,3.704014,1.163875,0.029669,29.420428,1,cloud,1,0.39006,0.922015,1.0,0.823641,0.502268,0.998026,0.06216,0.999186,0.012997,0.012997,0.012997,0.012997,0.012997,0.935013
teacher_latency_greedy,train,34,23,2,edge_50,0.257179,0.0,0.108943,0.014052,132.239362,1,edge,1,0.532016,0.883077,1.0,0.642391,0.014219,0.998801,0.017942,0.999956,0.019487,0.151949,0.240256,0.28441,0.28441,0.019487
teacher_latency_greedy,train,36,18,3,edge_75,0.450721,0.0,0.382709,0.037523,131.151694,1,edge,1,0.510445,0.933429,1.0,0.685368,0.082756,0.999039,0.0492,0.99995,0.011095,0.15111,0.244452,0.291124,0.291124,0.011095
teacher_latency_greedy,train,26,20,3,edge_75,2.005394,0.0,1.964588,0.138446,71.015671,1,edge,1,0.724674,0.903164,1.0,0.436925,0.50891,0.998918,0.099295,0.999599,0.016139,0.151614,0.24193,0.287089,0.287089,0.016139
teacher_latency_greedy,train,36,15,5,cloud,1.392491,1.089453,1.392002,0.002096,16.308042,1,local,0,0.577582,0.850999,1.0,0.065228,0.643905,0.999199,0.0,1.0,0.875833,0.024833,0.024833,0.024833,0.024833,0.024833
teacher_latency_greedy,train,21,30,1,edge_25,0.335866,-0.130534,0.211977,0.019997,121.444761,1,edge,1,0.498786,0.720513,1.0,0.269509,0.024212,0.99839,0.06591,0.998801,0.046581,0.154658,0.226709,0.262735,0.262735,0.046581
teacher_latency_greedy,train,1,22,2,edge_50,1.904391,-0.472605,1.827737,0.183015,34.679197,1,local,0,0.30182,0.795531,1.0,0.604406,0.35813,0.998689,0.186113,0.997803,0.829609,0.034078,0.034078,0.034078,0.034078,0.034078
teacher_latency_greedy,train,15,20,5,cloud,1.687115,6.429312,1.682952,0.021375,9.112897,1,cloud,1,0.839372,0.590149,1.0,0.588533,0.770101,0.998942,0.015848,0.999783,0.068308,0.068308,0.068308,0.068308,0.068308,0.658458
