task_id,device_id,arrival_time,deadline,data_size,cpu_cycles,priority,location_x,location_y,raw_location_x,raw_location_y,server_id,server_cpu_utilization,server_mem_utilization,execution_time_s,alibaba_duration_s,difficulty_score,reference_best_case_delay_s,deadline_window_proxy_s,edge_execution_anchor_s,target_edge_service_s,task_name,job_name,task_type_raw,service_class,field_source_arrival_time,field_source_location,field_source_execution_time,field_source_server_context,field_source_workload,field_proxy_deadline,field_proxy_data_size,field_proxy_cpu_cycles,field_proxy_priority,fusion_mode,decision_balance,service_class_mode,arrival_rank,mobility_rank,server_load_score,size_bits,cpu_norm_hint,size_norm_hint
10,4,88087.0,88087.50537957427,1329,839748472,3,725.765035343574,708.6819059798264,41.92193188,12.49078989,8,27.0,87.0,0.3883678913116455,2.0,0.331125,0.48114053775,0.5053795742731314,0.3883678913116455,0.4198742364943028,M3_2,j_90246,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.002000400080016003,0.18271604938271604,0.48,10887168.0,0.6215385976611665,0.7550146508091643
11,4,88263.0,88263.65485420593,2271,1237488765,3,665.6735979578492,724.6196273058771,41.91005082,12.49660921,23,21.0,91.0,0.3983290195465088,204.0,0.44267999999999996,0.76663443515625,0.6548542059389597,0.3983290195465088,0.6187443825125695,R2_1,j_135766,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0022004400880176033,0.17777777777777778,0.455,18604032.0,0.7007028115309661,0.8775867275824463
12,1,88587.0,88587.67115552195,2271,1560894338,3,758.1439955060137,683.596479488237,41.92833373,12.48163048,13,24.0,95.0,0.4289379119873047,6.0,0.65559,0.8575922525624999,0.6711555219473592,0.4289379119873047,0.7804471691370011,R4_3,j_85302,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.002400480096019204,0.15308641975308643,0.4885,18604032.0,0.7481059128945119,0.8775867275824463
13,3,88624.0,88624.12209648649,106,96265851,0,660.5585937025775,755.5737784536637,41.9090395,12.50791146,6,25.0,93.0,0.3024880886077881,6.0,0.280705,0.04661269059375,0.12209648649776232,0.3024880886077881,0.0962658511131406,R11_10,j_36102,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.002600520104020804,0.0962962962962963,0.488,868352.0,0.17930895697074367,0.1765209241245683
14,1,88882.0,88882.67224218308,1755,1483807681,3,666.4247750649675,670.9192246533678,41.91019934,12.47700165,19,30.0,91.0,0.4085907936096191,21.0,0.65261,0.7408025102812501,0.672242183077334,0.4085907936096191,0.7419038408815859,M2,j_60215,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0028005601120224045,0.1259259259259259,0.5135,14376960.0,0.7377652379794364,0.8186216105391367
15,1,88933.0,88933.65104682428,2271,1571553060,3,657.541291475239,592.4062034011375,41.90844293,12.44833429,7,29.0,91.0,0.4234921932220459,16.0,0.684375,0.8605900181249999,0.6510468242717888,0.4234921932220459,0.785776530392468,R8_7,j_55031,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0030006001200240046,0.12345679012345678,0.507,18604032.0,0.7494953684847661,0.8775867275824463
16,4,88981.0,88981.5881562805,1329,843920830,2,92.81127869375035,562.7070068985722,41.79678657,12.43749026,18,23.0,83.0,0.3828399181365967,4.0,0.35218499999999997,0.4823140134375001,0.5881562804992038,0.3828399181365967,0.4219604151713848,M1,j_93952,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.003200640128025605,0.1654320987654321,0.44,10887168.0,0.6225505202862986,0.7550146508091643
17,7,89282.0,89282.41647680558,355,1026424150,2,569.6663154714457,713.9257277478924,41.89106861,12.49270456,19,26.0,92.0,0.3905901908874511,14.0,0.56394,0.3541153921875,0.4164768055714185,0.3905901908874511,0.5132120754146575,MergeTask,j_98529,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0034006801360272052,0.0,0.49099999999999994,2908160.0,0.6625224184555638,0.45302702948428425
18,4,89325.0,89325.6532444752,1329,786676173,0,725.765035343574,708.6819059798264,41.92193188,12.49078989,29,19.0,91.0,0.3457567691802978,12.0,0.387615,0.46621395365625007,0.6532444752006616,0.3457567691802978,0.3933380869710445,M1,j_61191,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0036007201440288058,0.18271604938271604,0.44199999999999995,10887168.0,0.6082092217233385,0.7550146508091643
19,7,89395.0,89395.12,49,40000000,0,649.4169762384637,587.4449668984328,41.90683662,12.4465228,11,21.0,84.0,0.1053178310394287,6.0,0.11291500000000002,0.02028168,0.12,0.1053178310394287,0.027332109840810297,task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,j_152438,6,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.003800760152030406,0.012345679012345678,0.4305,401408.0,0.0,0.0
20,3,89611.0,89611.5876712538,1031,1111097161,2,570.3409688132353,740.8844387486317,41.891202,12.50254796,3,28.0,89.0,0.4083399772644043,5.0,0.6105050000000001,0.50252999653125,0.5876712537943111,0.4083399772644043,0.5555485807681084,M2,j_134782,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.004000800160032006,0.1037037037037037,0.49349999999999994,8445952.0,0.6787063305555697,0.696931167262462
21,3,89648.0,89648.7283149522,1031,1075507532,0,616.834542772613,660.1191159793688,41.90039454,12.47305822,12,29.0,93.0,0.4082040786743164,1.0,0.567365,0.49252041337499997,0.728314952203954,0.4082040786743164,0.5377537661027909,M4,j_171208,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.004200840168033607,0.08641975308641975,0.514,8445952.0,0.6720595217658966,0.696931167262462
22,3,89674.0,89674.12,106,40000000,0,603.4444517375789,649.8646778642981,41.8977471,12.46931403,29,15.0,88.0,0.1178691387176513,1.0,0.2314,0.03078792,0.12,0.1178691387176513,0.03547743206262586,R2_1,j_145820,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.004400880176035207,0.10123456790123457,0.40549999999999997,868352.0,0.0,0.1765209241245683
23,3,89744.0,89744.12,106,54931902,0,615.8095390523597,631.8121955525827,41.90019188,12.46272255,10,7.0,93.0,0.1726078987121582,6.0,0.280705,0.0349875174375,0.12,0.1726078987121582,0.05493190278947354,M2,j_37522,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.004600920184036807,0.05432098765432099,0.37099999999999994,868352.0,0.0647657066227065,0.1765209241245683
24,1,89942.0,89942.75356806404,2271,1260210331,3,782.7055447332151,766.1816535574371,41.93318995,12.5117847,22,24.0,91.0,0.4076800346374511,122.0,0.43646999999999997,0.77302487559375,0.7535680640367066,0.4076800346374511,0.6301051655352115,M2,j_118471,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.004800960192038408,0.1382716049382716,0.47450000000000003,18604032.0,0.7044175801654781,0.8775867275824463
25,3,91556.0,91556.41721485414,1031,650237527,2,782.7055447332151,766.1816535574371,41.93318995,12.5117847,28,4.0,77.0,0.3057739734649658,4.0,0.313265,0.37291322446874997,0.41721485413529613,0.3057739734649658,0.32511876389622685,M1,j_76669,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.005001000200040008,0.09876543209876543,0.2955,8445952.0,0.5693191551185754,0.696931167262462
26,3,91751.0,91751.12,106,40000000,0,666.4247750649675,670.9192246533678,41.91019934,12.47700165,19,20.0,86.0,0.1154401302337646,1.0,0.2314,0.03078792,0.12,0.1154401302337646,0.034746324799060806,M1,j_145072,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.005201040208041608,0.07901234567901234,0.43099999999999994,868352.0,0.0,0.1765209241245683
27,1,91775.0,91775.59586991083,1031,1039100137,1,657.541291475239,592.4062034011375,41.90844293,12.44833429,3,35.0,77.0,0.394385814666748,1.0,0.567365,0.48228083353124995,0.5958699108298459,0.394385814666748,0.5195500687384605,M4,j_123935,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0054010802160432084,0.12345679012345678,0.49700000000000005,8445952.0,0.6650284040910844,0.696931167262462
28,1,91802.0,91802.55375890687,1031,1057523065,2,666.4247750649675,670.9192246533678,41.91019934,12.47700165,23,29.0,92.0,0.4013781547546386,1.0,0.567365,0.48746228203124997,0.553758906863966,0.4013781547546386,0.5287615328383446,M1,j_30798,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.005601120224044809,0.1259259259259259,0.5105,8445952.0,0.6686165582279405,0.696931167262462
29,4,91976.0,91976.78231070311,1329,1143578401,1,670.7617961353425,668.002527327804,41.91105684,12.47593668,5,24.0,91.0,0.4215848445892334,1.0,0.606285,0.56659270528125,0.7823107031114263,0.4215848445892334,0.5717892009437084,R2_1,j_94880,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0058011602320464095,0.17037037037037037,0.47450000000000003,10887168.0,0.6845893493463318,0.7550146508091643
30,2,92163.0,92164.33953089111,2662,3518645358,3,538.2709360524925,653.5038874873508,41.88486123,12.47064281,11,34.0,89.0,0.9181969165802002,33.0,0.73285,1.4802788469375,1.3395308911094899,0.9181969165802002,1.75932267947495,J3_1_2,j_99740,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.006001200240048009,0.2641975308641975,0.5325,21807104.0,0.9140586786137619,0.9139281341455565
31,3,92473.0,92473.6097804249,1031,852021941,0,782.7055447332151,766.1816535574371,41.93318995,12.5117847,30,24.0,95.0,0.3747572898864746,59.0,0.386765,0.42966509090624994,0.6097804249065456,0.3747572898864746,0.4260109706377983,J4_2_3,j_171698,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.00620124024804961,0.09876543209876543,0.4885,8445952.0,0.6245010759062825,0.696931167262462
32,4,92520.0,92520.63209686369,2662,1269589178,3,670.7617961353425,668.002527327804,41.91105684,12.47593668,17,31.0,86.0,0.4086337089538574,32.0,0.44276499999999996,0.8477317963125,0.6320968636919553,0.4086337089538574,0.6347945891350507,M2,j_135024,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.00640128025605121,0.17037037037037037,0.5025,21807104.0,0.705931444588359,0.9139281341455565
33,4,92711.0,92712.2963448811,2893,3972448162,3,653.5139058916562,595.8647644091157,41.90764665,12.44959711,8,31.0,91.0,1.0219929218292236,39.0,0.754785,1.6504888055624998,1.2963448811092946,1.0219929218292236,1.9862240812078118,J7_4_6,j_25351,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.006601320264052811,0.18024691358024691,0.52,23699456.0,0.9388258100435495,0.9329653117952851
34,4,92711.0,92711.84898113969,2662,1840396653,3,399.2912349408273,709.7535554126921,41.85738267,12.49118118,23,31.0,94.0,0.4791810512542724,39.0,0.736285,1.00827139865625,0.8489811396854567,0.4791810512542724,0.9201983266577124,R8_7,j_25351,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0068013602720544105,0.20987654320987653,0.5305,21807104.0,0.7817372167977453,0.9139281341455565
35,3,92973.0,92973.12,49,40000000,0,373.2816517399335,949.1404401479552,41.85224015,12.57858821,28,4.0,79.0,0.1053628921508789,319.0,0.194035,0.02028168,0.12,0.1053628921508789,0.030335267345666883,task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,j_15453,6,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.007001400280056011,0.056790123456790124,0.3025,401408.0,0.0,0.0
36,3,92984.0,92984.5071082949,646,798288197,0,373.2816517399335,949.1404401479552,41.85224015,12.57858821,29,28.0,92.0,0.3141419887542724,1.0,0.520585,0.34358927540625,0.5071082948947805,0.3141419887542724,0.3991440987813472,M1,j_153087,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.0072014402880576115,0.056790123456790124,0.5039999999999999,5292032.0,0.6112009203167815,0.5899858570091443
37,4,93237.0,93237.90370052571,2662,1642633910,3,526.3912916325847,711.4104231000872,41.88251243,12.49178615,18,28.0,92.0,0.439450740814209,8.0,0.69517,0.9526506271874999,0.9037005257079342,0.439450740814209,0.821316955178976,R1_17,j_91622,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.007401480296059212,0.16049382716049382,0.5039999999999999,21807104.0,0.7585271606685426,0.9139281341455565
38,7,93251.0,93251.42298726173,646,673613891,1,563.4822544889176,742.8227414221552,41.88984592,12.50325569,29,14.0,88.0,0.3004910945892334,1389.0,0.370855,0.30852462684375004,0.4229872617343183,0.3004910945892334,0.33680694582581516,R4_3,j_17491,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.007601520304060812,0.03209876543209877,0.39899999999999997,5292032.0,0.5765303047206056,0.5899858570091443
39,7,93592.0,93592.12,49,40000000,0,563.3148429467465,664.087086362783,41.88981282,12.47450704,26,6.0,64.0,0.1045398712158203,4.0,0.081535,0.02028168,0.12,0.1045398712158203,0.025982052107334133,task_ODk2MzU0ODg1MTY5MTExNTUwMg==,j_66226,6,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.007801560312062412,0.03950617283950617,0.26299999999999996,401408.0,0.0,0.0
40,3,93834.0,93834.12,106,85818271,0,571.3592457253161,664.4147242315053,41.89140333,12.47462667,29,25.0,79.0,0.2851200103759765,1.0,0.2314,0.04367430871875,0.12,0.2851200103759765,0.08581827192306517,R10_9,j_74855,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.008001600320064013,0.08888888888888889,0.439,868352.0,0.15585357295583477,0.1765209241245683
41,3,93842.0,93842.12,106,90444814,0,530.0292304261527,649.5800933040764,41.88323171,12.46921012,10,6.0,93.0,0.3004910945892334,1.0,0.2314,0.0449755239375,0.12,0.3004910945892334,0.09044481456041335,M1,j_90321,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.008201640328065612,0.08148148148148149,0.36449999999999994,868352.0,0.1665741125074905,0.1765209241245683
42,1,94027.0,94027.75981592578,2271,1663448039,3,749.9304615500977,684.1288396731652,41.92670978,12.48182486,29,32.0,89.0,0.4439709186553955,28.0,0.6987,0.88643548096875,0.7598159257761647,0.4439709186553955,0.8317240197360516,R2_1,j_130129,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.008401680336067214,0.13333333333333333,0.5195000000000001,18604032.0,0.7610979826903989,0.8775867275824463
43,3,94237.0,94237.15018248017,106,93515674,0,600.3918969891505,659.8311901318466,41.89714356,12.47295309,28,4.0,79.0,0.3057079315185547,2.0,0.245425,0.0458392033125,0.15018248016239577,0.3057079315185547,0.09351567411661148,R2_1,j_14187,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.008601720344068814,0.07160493827160494,0.3025,868352.0,0.17339117775461876,0.1765209241245683
44,4,94333.0,94333.69421090653,2893,1281758175,3,589.1709234193625,673.9590840198612,41.89492499,12.47811159,5,16.0,92.0,0.4085447788238525,24.0,0.4549500000000001,0.8937322467187501,0.6942109065315263,0.4085447788238525,0.6408790877312421,M1,j_65403,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.008801760352070413,0.21481481481481482,0.42599999999999993,23699456.0,0.707879091083392,0.9329653117952851
45,4,94451.0,94451.64773648274,2662,1497150027,3,538.2709360524925,653.5038874873508,41.88486123,12.47064281,30,41.0,74.0,0.4167649745941162,1.0,0.636925,0.9117332850937501,0.6477364827505968,0.4167649745941162,0.748575013898313,R6_5,j_87690,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.009001800360072015,0.19753086419753085,0.5255,21807104.0,0.7395929212235105,0.9139281341455565
46,3,94512.0,94512.14683028993,106,97043655,0,583.4682591312807,652.7842235003503,41.89379748,12.47038004,25,22.0,95.0,0.3049321174621582,6.0,0.280705,0.04683144796875,0.14683028993065358,0.3049321174621582,0.0970436553529501,R2_1,j_149591,1,local_sensing,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.009201840368073614,0.09382716049382717,0.4755,868352.0,0.18095196977015657,0.1765209241245683
47,1,94523.0,94523.3869482533,1031,591586591,3,657.541291475239,592.4062034011375,41.90844293,12.44833429,23,19.0,81.0,0.2810320854187011,3.0,0.30252500000000004,0.35641764871875,0.3869482533049318,0.2810320854187011,0.2957932957053184,M1,j_73252,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.009401880376075216,0.12345679012345678,0.407,8445952.0,0.5500190473692473,0.696931167262462
48,4,95317.0,95317.60762708866,1329,843765045,1,653.5139058916562,595.8647644091157,41.90764665,12.44959711,13,23.0,93.0,0.3724837303161621,10.0,0.38261999999999996,0.48227019890625,0.6076270886530926,0.3724837303161621,0.42188252263069154,M1,j_164135,1,balanced_partial,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.009601920384076815,0.18024691358024691,0.475,10887168.0,0.6225128277232472,0.7550146508091643
49,4,95411.0,95411.51504341378,2271,1240410677,3,526.3912916325847,711.4104231000872,41.88251243,12.49178615,1,32.0,83.0,0.4028239250183105,88.0,0.43171499999999996,0.76745622290625,0.5150434137766009,0.4028239250183105,0.6202053385049103,R2_1,j_153576,1,urgent_edge,alibaba_batch_task.start_time,glasgow_mec.mobility,uci_execution_times,alibaba_machine_usage,alibaba_batch_task,True,True,True,True,correlation_aware,edge_balanced,mec_mixed,0.009801960392078415,0.16049382716049382,0.49849999999999994,18604032.0,0.7011843215202688,0.8775867275824463
